a	0.033924050632911394
c	0.042531645569620254
e	0.03949367088607595
g	0.0389873417721519
i	0.034936708860759495
k	0.03645569620253165
m	0.03848101265822785
o	0.0389873417721519
q	0.033924050632911394
s	0.033924050632911394
u	0.03189873417721519
w	0.03746835443037975
y	0.035443037974683546
b	0.045063291139240506
d	0.03645569620253165
f	0.0379746835443038
h	0.03645569620253165
j	0.035443037974683546
l	0.04050632911392405
n	0.04
p	0.0389873417721519
r	0.044050632911392405
t	0.03848101265822785
v	0.04050632911392405
x	0.0410126582278481
z	0.04860759493670886
